age_range,gender,study_level,study_year,study_field ,extracurricular_activities,cog_engage1,cog_engage2,cog_engage3,cog_engage4,exercise_improve_cognition,exercise_regulate_emotion,nature_improve,nutritional_balanced_freq,junk_food_freq,nutritional_mood_focus,creative_activities_benefits,doomscroll_exhaust,screen_time,screen_content,sleep_deprivation_reason,sleep_disrupt_flexibility,multitask_check_phone,multitask_notifications,sedentary_behavior1,sedentary_behavior2,learning1,learning2,performance_reflects_potential,responsibilities_interfere
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Agree,Agree,Neutral,Neutral,Mostly,Mostly,Sometimes,Always,1-2 times/week,Sometimes,Strongly Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Use of Electronic Devices before bed,Disagree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Disagree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Strongly Agree,Neutral,Neutral,Agree,Mostly,Mostly,Always,Always,3-4 times/week,Always,Strongly Agree,Strongly Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral
18-23 years,Male,Undergraduate,3rd Year,Natural Sciences,,Agree,Agree,Neutral,Disagree,Neutral,Not at all,Sometimes,Often,1-2 times/week,Sometimes,Strongly Agree,Neutral,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree
18-23 years,Male,Undergraduate,,Computational Sciences,,Strongly Agree,Agree,Agree,Agree,Neutral,Mostly,Often,Sometimes,3-4 times/week,Sometimes,Disagree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree
28-32 years,Female,Postgraduates,,Social Sciences,Research Work,Strongly Agree,Neutral,Strongly Agree,Agree,Extremely,Extremely,Often,Occasionally,Daily,Always,Strongly Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,"Research Work, Volunteering",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly,Extremely,Sometimes,Always,1-2 times/week,Often,Strongly Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)","Academic Workload, Stress or Anxiety",Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Internship,Agree,Disagree,Agree,Neutral,Mostly,A little,Often,Often,1-2 times/week,Sometimes,Neutral,Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree
18-23 years,Female,Postgraduates,,Life Sciences,,Strongly Agree,Agree,Neutral,Neutral,Mostly,Mostly,Sometimes,Occasionally,1-2 times/week,Always,Strongly Agree,Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
18-23 years,Female,Postgraduates,,Computational Sciences,"Part-time Job, Research Work",Agree,Neutral,Strongly Disagree,Neutral,Not at all,Neutral,Sometimes,Occasionally,Daily,Sometimes,Neutral,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Neutral,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Neutral
24-27 years,Female,Undergraduate,,Computational Sciences,,Strongly Agree,Agree,Neutral,Agree,Extremely,Mostly,Occasionally,Sometimes,3-4 times/week,Sometimes,Neutral,Strongly Agree,4-6 hours,Social Media Scrolling / Doomscrolling,"Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,"Part-time Job, Research Work, Volunteering",Strongly Agree,Neutral,Agree,Agree,A little,Mostly,Always,Often,3-4 times/week,Sometimes,Agree,Disagree,4-6 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Neutral,Neutral,Neutral,Disagree,Mostly,Mostly,Sometimes,Sometimes,1-2 times/week,Always,Agree,Neutral,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",House chores,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Online Business,Strongly Agree,Strongly Agree,Agree,Neutral,A little,Mostly,Sometimes,Occasionally,5-6 times/week,Always,Strongly Agree,Disagree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Agree,Disagree,Strongly Disagree,Neutral,Not at all,A little,Always,Sometimes,3-4 times/week,Sometimes,Agree,Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Part-time Job,Agree,Agree,Neutral,Neutral,A little,Mostly,Sometimes,Always,Never,Occasionally,Disagree,Disagree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Use of Electronic Devices before bed,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral
18-23 years,Female,Postgraduates,,Life Sciences,"Internship, Research Work, Volunteering",Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Often,Always,1-2 times/week,Sometimes,Strongly Agree,Neutral,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Seasonal insomnia ,Neutral,Neutral,Strongly Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral
24-27 years,Female,Undergraduate,4th Year,Life Sciences,"Internship, Research Work, Volunteering",Agree,Agree,Strongly Agree,Strongly Agree,Mostly,Mostly,Always,Often,3-4 times/week,Often,Strongly Agree,Neutral,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Irregular Routine",Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Agree,Agree,Agree,Agree,Mostly,Mostly,Sometimes,Often,1-2 times/week,Often,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Computational Sciences,Part-time Job,Disagree,Agree,Neutral,Agree,Mostly,Neutral,Often,Often,1-2 times/week,Occasionally,Neutral,Neutral,2-4 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,"Online Business, Research Work, Volunteering",Agree,Agree,Neutral,Agree,Neutral,Neutral,Sometimes,Often,1-2 times/week,Often,Strongly Agree,Strongly Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral
24-27 years,Female,Postgraduates,,Medical Sciences,,Neutral,Agree,Agree,Agree,Neutral,A little,Sometimes,Sometimes,3-4 times/week,Often,Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Does not apply to me,Neutral,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Life Sciences,Volunteering,Strongly Agree,Strongly Agree,Agree,Agree,Mostly,Extremely,Always,Often,5-6 times/week,Often,Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Home Tuition ,Neutral,Neutral,Disagree,Disagree,A little,Mostly,Occasionally,Often,3-4 times/week,Never,Neutral,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree
18-23 years,Male,Undergraduate,2nd Year,Life Sciences,"Internship, Research Work",Strongly Agree,Agree,Neutral,Strongly Agree,Mostly,Extremely,Always,Occasionally,3-4 times/week,Sometimes,Strongly Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling","Stress or Anxiety, Irregular Routine",Neutral,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Neutral
